S.No,Date,(Node 01) Battery Voltage ,(Node 01) Soil EC,(Node 01) Soil Moisture ,(Node 01) Soil Temperature ,(Node 01) Solar Voltage ,(Node 02) Battery Voltage ,(Node 02) Soil EC,(Node 02) Soil Moisture ,(Node 02) Soil Temperature ,(Node 02) Solar Voltage ,(Node 03) Battery Voltage ,(Node 03) Soil EC,(Node 03) Soil Moisture ,(Node 03) Soil Temperature ,(Node 03) Solar Voltage ,(Node 04) Battery Voltage ,(Node 04) Soil EC,(Node 04) Soil Moisture ,(Node 04) Soil Temperature ,(Node 04) Solar Voltage 
5893,12/16/2022- 5:46:19 PM,,,,,,4.22,108.64,21.02,22.4,0.08,,,,,,,,,,
5894,12/16/2022- 5:57:58 PM,,,,,,4.22,112.3,21.07,22.49,0.08,,,,,,,,,,
5895,12/16/2022- 6:08:40 PM,,,,,,4.21,108.64,21.02,22.52,0.09,,,,,,,,,,
5896,12/16/2022- 6:31:06 PM,,,,,,4.21,108.64,21.04,22.64,0.09,,,,,,,,,,
5897,12/16/2022- 6:42:31 PM,,,,,,4.21,111.08,21.07,22.67,0.09,,,,,,,,,,
5898,12/16/2022- 6:54:09 PM,,,,,,4.2,109.86,21.14,22.64,0.09,,,,,,,,,,
5899,12/16/2022- 7:05:34 PM,,,,,,4.2,,21.19,,0.09,,,,,,,,,,
5900,12/16/2022- 7:38:59 PM,,,,,,4.19,113.53,21.12,22.58,0.09,,,,,,,,,,
5901,12/16/2022- 7:50:23 PM,,,,,,4.19,106.2,21.12,22.72,0.1,,,,,,,,,,
5902,12/16/2022- 8:02:02 PM,,,,,,4.19,106.2,21.07,22.64,0.1,,,,,,,,,,
5903,12/16/2022- 8:13:27 PM,,,,,,4.19,115.97,21.22,22.75,0.09,,,,,,,,,,
5904,12/16/2022- 8:24:03 PM,,,,,,4.19,104.98,21.19,22.55,0.09,,,,,,,,,,
5905,12/16/2022- 8:35:28 PM,,,,,,4.18,109.86,21.26,22.81,0.09,,,,,,,,,,
5906,12/16/2022- 8:46:53 PM,,,,,,4.18,106.2,21.04,22.84,0.09,,,,,,,,,,
5907,12/16/2022- 9:09:13 PM,,,,,,4.18,111.08,21.09,22.72,0.09,,,,,,,,,,
5908,12/16/2022- 9:20:38 PM,,,,,,4.18,112.3,21.31,22.67,0.1,,,,,,,,,,
5909,12/16/2022- 9:32:16 PM,,,,,,4.18,109.86,21.29,22.55,0.1,,,,,,,,,,
5910,12/16/2022- 9:43:41 PM,,,,,,4.18,111.08,21.19,22.81,0.1,,,,,,,,,,
5911,12/16/2022- 10:17:04 PM,,,,,,4.17,107.42,21.36,22.64,0.1,,,,,,,,,,
5912,12/16/2022- 10:28:43 PM,,,,,,4.17,111.08,21.17,22.52,0.1,,,,,,,,,,
5913,12/16/2022- 10:40:08 PM,,,,,,4.17,111.08,21.41,22.64,0.1,,,,,,,,,,
5914,12/16/2022- 10:50:30 PM,,,,,,4.17,108.64,21.26,22.75,0.1,,,,,,,214.84,,21.7,
5915,12/16/2022- 11:02:08 PM,,,,,,4.17,95.21,21.26,22.58,0.1,,,,,,,206.3,,21.61,
5916,12/16/2022- 11:13:32 PM,,,,,,4.17,104.98,21.19,22.7,0.1,,,,,,4.1,205.08,26.44,21.73,0.05
5917,12/16/2022- 11:24:56 PM,,,,,,4.17,109.86,21.07,22.67,0.1,,,,,,,211.18,,21.49,
5918,12/16/2022- 11:35:33 PM,,,,,,4.16,114.75,21.09,22.7,0.1,,,,,,4.1,207.52,26.56,21.55,0.05
5919,12/16/2022- 11:46:58 PM,,,,,,4.16,108.64,21.29,22.64,0.1,,,,,,4.1,205.08,26.39,21.58,0.05
5920,12/17/2022- 12:20:43 AM,,,,,,4.16,108.64,21.22,22.7,0.1,,,,,,,,,,
5921,12/17/2022- 12:32:21 AM,,,,,,4.16,108.64,21.26,22.7,0.1,,,,,,,,,,
5922,12/17/2022- 12:43:45 AM,,,,,,4.16,109.86,21.17,22.67,0.1,,,,,,,,,,
5923,12/17/2022- 12:55:10 AM,,,,,,4.16,111.08,21.26,22.52,0.1,,,,,,,,,,
5924,12/17/2022- 1:05:46 AM,,,,,,4.16,108.64,21.19,22.61,0.1,,,,,,,,,,
5925,12/17/2022- 1:17:10 AM,,,,,,4.16,108.64,21.24,22.37,0.1,,,,,,,,,,
5926,12/17/2022- 1:28:47 AM,,,,,,4.15,112.3,20.85,22.61,0.1,,,,,,,,,,
5927,12/17/2022- 1:40:11 AM,,,,,,4.16,112.3,21,22.37,0.11,,,,,,,,,,
5928,12/17/2022- 1:51:35 AM,,,,,,4.15,112.3,21.14,22.55,0.1,,,,,,,,,,
5929,12/17/2022- 2:02:12 AM,,,,,,4.15,122.07,21.07,22.55,0.1,,,,,,,,,,
5930,12/17/2022- 2:13:36 AM,,,,,,4.15,111.08,21.31,22.55,0.11,,,,,,,,,,
5931,12/17/2022- 2:25:01 AM,,,,,,4.15,107.42,21.04,22.49,0.11,,,,,,,,,,
5932,12/17/2022- 2:36:39 AM,,,,,,4.15,103.76,21.22,22.43,0.11,,,,,,,,,,
5933,12/17/2022- 2:47:01 AM,,,,,,4.15,109.86,21.31,22.4,0.1,,,,,,,,,,
5934,12/17/2022- 2:58:25 AM,,,,,,4.15,108.64,21.19,22.67,0.1,,,,,,,,,,
5935,12/17/2022- 3:10:02 AM,,,,,,4.15,108.64,21.07,22.52,0.11,,,,,,,,,,
5936,12/17/2022- 3:21:27 AM,,,,,,4.15,108.64,21.04,22.49,0.11,,,,,,,,,,
5937,12/17/2022- 3:32:02 AM,,,,,,4.15,,21.29,,0.11,,,,,,,,,,
5938,12/17/2022- 3:43:26 AM,,,,,,4.15,102.54,21.12,22.4,0.1,,,,,,,,,,
5939,12/17/2022- 3:54:50 AM,,,,,,4.15,106.2,21.14,22.49,0.11,,,,,,,,,,
5940,12/17/2022- 4:06:28 AM,,,,,,4.14,100.1,21.04,22.43,0.11,,,,,,,,,,
5941,12/17/2022- 4:29:18 AM,,,,,,4.14,,21.29,,0.11,,,,,,,,,,
5942,12/17/2022- 4:51:19 AM,,,,,,4.14,111.08,21.31,22.34,0.11,,,,,,,,,,
5943,12/17/2022- 5:02:56 AM,,,,,,4.14,109.86,21.22,22.23,0.1,,,,,,,,,,
5944,12/17/2022- 5:14:21 AM,,,,,,4.14,109.86,21.31,22.31,0.11,,,,,,,,,,
5945,12/17/2022- 5:24:43 AM,,,,,,4.14,111.08,21.04,22.34,0.11,,,,,,,,,,
5946,12/17/2022- 5:36:21 AM,,,,,,4.14,107.42,21.07,22.31,0.06,,,,,,,,,,
5947,12/17/2022- 5:58:29 AM,,,,,,4.14,108.64,21.02,22.34,0.24,,,,,,,,,,
5948,12/17/2022- 6:10:07 AM,,,,,,4.14,104.98,21.17,22.23,1.96,,,,,,,,,,
5949,12/17/2022- 6:21:31 AM,,,,,,4.14,107.42,21.22,22.02,3.64,,,,,,,,,,
5950,12/17/2022- 6:33:10 AM,,,,,,4.14,113.53,20.97,22.2,4,,,,,,,,,,
5951,12/17/2022- 6:43:32 AM,,,,,,4.14,113.53,21,22.02,4.04,,,,,,,,,,
5952,12/17/2022- 6:54:59 AM,,,,,,4.14,111.08,21.22,22.29,4.06,,,,,,,,,,
5953,12/17/2022- 7:06:36 AM,,,,,,4.14,108.64,21.12,22.14,4.08,,,,,,,,,,
5954,12/17/2022- 7:18:01 AM,,,,,,4.15,115.97,20.92,22.11,4.12,,,,,,,,,,
5955,12/17/2022- 7:29:28 AM,,,,,,4.16,103.76,21.09,22.11,4.19,,,,,,,,,,
5956,12/17/2022- 7:40:03 AM,,,,,,4.17,104.98,21.14,22.2,4.23,,,,,,,,,,
5957,12/17/2022- 7:51:27 AM,,,,,,4.18,118.41,21.14,21.9,4.3,,,,,,,,,,
5958,12/17/2022- 8:03:05 AM,,,,,,4.2,98.88,21.24,21.87,4.36,,,,,,,,,,
5959,12/17/2022- 8:14:30 AM,,,,,,4.23,109.86,21.04,21.79,4.49,,,,,,,,,,
5960,12/17/2022- 8:25:54 AM,,,,,,4.24,107.42,20.95,21.76,5,,,,,,,,,,
5961,12/17/2022- 8:36:31 AM,,,,,,4.23,112.3,21.04,21.73,4.45,,,,,,,,,,
5962,12/17/2022- 8:47:56 AM,,,,,,4.25,98.88,21.09,21.93,4.42,,,,,,,,,,
5963,12/17/2022- 8:59:21 AM,,,,,,4.26,,21.14,,4.4,,,,,,,,,,
5964,12/17/2022- 9:22:23 AM,,,,,,4.25,108.64,21.02,22.17,4.5,,,,,,,,,,
5965,12/17/2022- 9:44:25 AM,,,,,,4.26,100.1,20.9,21.76,4.33,,,,,,,,,,
5966,12/17/2022- 9:55:50 AM,,,,,,4.23,104.98,20.9,21.64,5,,,,,,,,,,
5967,12/17/2022- 10:18:54 AM,,,,,,4.24,106.2,20.87,21.52,5,,,,,,,,,,
5968,12/17/2022- 10:30:19 AM,,,,,,4.24,102.54,20.87,21.61,5,,,,,,,,,,
5969,12/17/2022- 10:41:57 AM,,,,,,4.26,106.2,21.02,21.82,4.97,,,,,,,,,,
5970,12/17/2022- 10:53:22 AM,,,,,,4.24,108.64,20.97,21.64,5,,,,,,4.2,211.18,26.42,20.56,5
5971,12/17/2022- 11:15:23 AM,,,,,,4.24,103.76,20.78,21.55,5,,,,,,,,,,
5972,12/17/2022- 11:26:47 AM,,,,,,4.24,102.54,20.63,21.49,5,,,,,,,,,,
5973,12/17/2022- 11:49:52 AM,,,,,,4.24,98.88,20.7,21.64,5,,,,,,,,,,
5974,12/17/2022- 12:01:17 PM,,,,,,4.24,103.76,20.8,21.79,5,,,,,,,,,,
5975,12/17/2022- 12:12:55 PM,,,,,,4.24,109.86,20.83,21.7,5,,,,,,,,,,
5976,12/17/2022- 12:24:19 PM,,,,,,4.25,104.98,20.97,21.87,4.55,,,,,,,,,,
5977,12/17/2022- 12:46:21 PM,,,,,,4.24,106.2,20.75,21.67,5,,,,,,,,,,
5978,12/17/2022- 12:57:46 PM,,,,,,4.24,102.54,20.68,21.67,5,,,,,,,,,,
5979,12/17/2022- 1:09:25 PM,,,,,,4.24,113.53,20.58,21.73,5,,,,,,,,,,
5980,12/17/2022- 1:20:50 PM,,,,,,4.25,107.42,20.75,21.67,4.44,,,,,,,,,,
5981,12/17/2022- 1:43:53 PM,,,,,,4.25,,20.58,,4.42,,,,,,,,,,
5982,12/17/2022- 1:55:17 PM,,,,,,4.26,106.2,20.58,21.85,4.42,,,,,,,,,,
5983,12/17/2022- 2:17:18 PM,,,,,,4.27,102.54,20.63,21.96,4.34,,,,,,,,,,
5984,12/17/2022- 2:28:43 PM,,,,,,4.26,113.53,20.53,21.96,4.44,,,,,,,,,,
5985,12/17/2022- 2:40:22 PM,,,,,,4.27,106.2,20.58,22.11,4.38,,,,,,,,,,
5986,12/17/2022- 2:51:47 PM,,,,,,4.27,102.54,20.56,22.14,4.36,,,,,,,,,,
5987,12/17/2022- 3:03:11 PM,,,,,,4.27,112.3,20.63,21.93,4.32,,,,,,,,,,
5988,12/17/2022- 3:14:49 PM,,,,,,4.27,104.98,20.75,22.46,4.29,,,,,,,,,,
5989,12/17/2022- 3:25:12 PM,,,,,,4.26,102.54,20.56,22.37,4.26,,,,,,,,,,
5990,12/17/2022- 3:36:37 PM,,,,,,4.26,108.64,20.9,22.46,4.21,,,,,,,,,,
5991,12/17/2022- 3:48:15 PM,,,,,,4.27,98.88,20.58,22.46,4.19,,,,,,,,,,
5992,12/17/2022- 3:59:39 PM,,,,,,4.27,93.99,20.63,22.55,4.19,,,,,,,,,,
5993,12/17/2022- 4:11:18 PM,,,,,,4.26,104.98,20.8,22.55,4.17,,,,,,,,,,
5994,12/17/2022- 4:22:43 PM,,,,,,4.26,109.86,20.68,22.52,4.15,,,,,,,,,,
5995,12/17/2022- 4:33:05 PM,,,,,,4.25,,20.46,,4.1,,,,,,,,,,
5996,12/17/2022- 4:44:43 PM,,,,,,4.24,107.42,20.68,22.55,3.52,,,,,,,,,,
5997,12/17/2022- 4:56:08 PM,,,,,,4.24,106.2,20.61,22.78,1.68,,,,,,,,,,
5998,12/17/2022- 5:07:32 PM,,,,,,4.23,102.54,20.73,22.72,0.21,,,,,,,,,,
5999,12/17/2022- 5:19:10 PM,,,,,,4.23,106.2,20.73,22.81,0.09,,,,,,,,,,
6000,12/17/2022- 5:30:35 PM,,,,,,4.23,109.86,21.04,22.58,0.08,,,,,,,,,,
6001,12/17/2022- 5:41:11 PM,,,,,,4.22,115.97,20.65,22.9,0.08,,,,,,,,,,
6002,12/17/2022- 5:52:35 PM,,,,,,4.22,106.2,20.85,22.81,0.08,,,,,,,,,,
6003,12/17/2022- 6:04:01 PM,,,,,,4.22,113.53,20.75,22.84,0.08,,,,,,,,,,
6004,12/17/2022- 6:27:04 PM,,,,,,4.21,,20.85,,0.09,,,,,,,,,,
6005,12/17/2022- 7:00:29 PM,,,,,,4.2,109.86,20.85,23.05,0.09,,,,,,,,,,
6006,12/17/2022- 7:12:08 PM,,,,,,4.2,109.86,20.7,22.96,0.09,,,,,,,,,,
6007,12/17/2022- 7:22:30 PM,,,,,,4.2,,20.9,,0.09,,,,,,,,,,
6008,12/17/2022- 7:33:55 PM,,,,,,4.2,107.42,20.7,22.93,0.09,,,,,,,,,,
6009,12/17/2022- 7:45:33 PM,,,,,,4.19,107.42,20.63,23.02,0.09,,,,,,,,,,
6010,12/17/2022- 7:56:58 PM,,,,,,4.19,104.98,20.85,23.11,0.09,,,,,,,,,,
6011,12/17/2022- 8:08:22 PM,,,,,,4.19,108.64,20.8,22.78,0.09,,,,,,,,,,
6012,12/17/2022- 8:18:58 PM,,,,,,4.19,108.64,20.8,23.02,0.1,,,,,,,,,,
6013,12/17/2022- 8:30:23 PM,,,,,,4.19,103.76,20.8,22.9,0.09,,,,,,,,,,
6014,12/17/2022- 8:42:03 PM,,,,,,4.19,103.76,20.8,22.93,0.09,,,,,,,,,,
6015,12/17/2022- 8:53:28 PM,,,,,,4.18,108.64,20.83,22.96,0.09,,,,,,,,,,
6016,12/17/2022- 9:04:52 PM,,,,,,4.18,96.44,20.83,22.84,0.1,,,,,,,,,,
6017,12/17/2022- 9:15:28 PM,,,,,,4.18,106.2,20.78,23.02,0.09,,,,,,,203.86,,22.05,
6018,12/17/2022- 9:26:53 PM,,,,,,4.18,108.64,20.8,22.84,0.1,,,,,,,205.08,,21.87,
6019,12/17/2022- 9:38:18 PM,,,,,,4.18,102.54,20.9,23.02,0.1,,,,,,4.11,200.2,26.1,22.02,0.05
6020,12/17/2022- 9:49:55 PM,,,,,,4.18,108.64,20.68,22.84,0.1,,,,,,4.11,202.64,26.12,21.9,0.05
6021,12/17/2022- 10:01:19 PM,,,,,,4.17,100.1,20.51,22.96,0.1,,,,,,,203.86,,22.02,
6022,12/17/2022- 10:11:57 PM,,,,,,4.17,,20.9,,0.1,,,,,,,,,,
6023,12/17/2022- 10:23:21 PM,,,,,,4.17,91.55,20.9,22.96,0.1,,,,,,4.1,,25.85,,0.05
6024,12/17/2022- 10:34:46 PM,,,,,,4.17,104.98,20.83,22.84,0.1,,,,,,,,,,
6025,12/17/2022- 10:46:24 PM,,,,,,4.17,,20.83,,0.1,,,,,,,,,,
6026,12/17/2022- 10:57:06 PM,,,,,,4.17,104.98,20.83,22.67,0.1,,,,,,,,,,
6027,12/17/2022- 11:08:34 PM,,,,,,4.17,,20.41,,0.1,,,,,,,,,,
6028,12/17/2022- 11:20:23 PM,,,,,,4.17,108.64,20.8,22.87,0.1,,,,,,,,,,
6029,12/17/2022- 11:42:11 PM,,,,,,4.17,104.98,20.8,22.75,0.1,,,,,,,,,,
6030,12/17/2022- 11:53:49 PM,,,,,,4.17,108.64,20.8,22.96,0.1,,,,,,,,,,
6031,12/18/2022- 12:05:14 AM,,,,,,4.16,112.3,20.58,22.81,0.1,,,,,,,,,,
6032,12/18/2022- 12:15:50 AM,,,,,,4.16,104.98,20.65,22.7,0.1,,,,,,,,,,
6033,12/18/2022- 12:27:30 AM,,,,,,4.16,107.42,20.7,22.84,0.1,,,,,,,,,,
6034,12/18/2022- 12:38:55 AM,,,,,,4.16,111.08,20.83,22.84,0.1,,,,,,,,,,
6035,12/18/2022- 12:50:36 AM,,,,,,4.16,107.42,20.68,22.78,0.1,,,,,,,,,,
6036,12/18/2022- 1:00:59 AM,,,,,,4.16,109.86,20.78,22.61,0.1,,,,,,,,,,
6037,12/18/2022- 1:12:23 AM,,,,,,4.16,106.2,20.75,22.7,0.1,,,,,,,,,,
6038,12/18/2022- 1:24:02 AM,,,,,,4.16,108.64,20.78,22.93,0.1,,,,,,,,,,
6039,12/18/2022- 1:35:27 AM,,,,,,4.16,107.42,20.56,22.84,0.11,,,,,,,,,,
6040,12/18/2022- 1:46:01 AM,,,,,,4.16,108.64,20.75,22.67,0.1,,,,,,,,,,
6041,12/18/2022- 1:57:26 AM,,,,,,4.16,104.98,20.73,22.67,0.11,,,,,,,,,,
6042,12/18/2022- 2:08:50 AM,,,,,,4.16,102.54,20.83,22.81,0.11,,,,,,,,,,
6043,12/18/2022- 2:20:04 AM,,,,,,4.15,101.32,20.78,22.78,0.11,,,,,,,,,,
6044,12/18/2022- 2:31:30 AM,,,,,,4.15,102.54,20.78,22.72,0.1,,,,,,,,,,
6045,12/18/2022- 2:42:55 AM,,,,,,4.15,108.64,20.8,22.78,0.11,,,,,,,,,,
6046,12/18/2022- 2:54:37 AM,,,,,,4.15,106.2,20.83,22.72,0.11,,,,,,,,,,
6047,12/18/2022- 3:05:12 AM,,,,,,4.15,108.64,20.8,22.75,0.1,,,,,,,,,,
6048,12/18/2022- 3:16:49 AM,,,,,,4.15,108.64,20.85,22.7,0.11,,,,,,,,,,
6049,12/18/2022- 3:28:13 AM,,,,,,4.15,109.86,20.75,22.72,0.1,,,,,,,,,,
6050,12/18/2022- 4:13:04 AM,,,,,,4.15,108.64,20.8,22.75,0.11,,,,,,,,,,
6051,12/18/2022- 4:24:42 AM,,,,,,4.14,108.64,20.75,22.7,0.11,,,,,,,,,,
6052,12/18/2022- 4:35:04 AM,,,,,,4.14,109.86,20.78,22.58,0.11,,,,,,,,,,
6053,12/18/2022- 4:46:29 AM,,,,,,4.14,103.76,20.85,22.61,0.11,,,,,,,,,,
6054,12/18/2022- 4:58:06 AM,,,,,,4.14,114.75,20.78,22.58,0.11,,,,,,,,,,
6055,12/18/2022- 5:09:31 AM,,,,,,4.14,108.64,20.73,22.58,0.11,,,,,,,,,,
6056,12/18/2022- 5:20:06 AM,,,,,,4.14,106.2,20.8,22.4,0.11,,,,,,,,,,
6057,12/18/2022- 5:31:31 AM,,,,,,4.14,106.2,20.85,22.46,0.05,,,,,,,,,,
6058,12/18/2022- 5:42:55 AM,,,,,,4.14,106.2,20.65,22.52,0.06,,,,,,,,,,
6059,12/18/2022- 5:54:33 AM,,,,,,4.14,108.64,20.83,22.46,0.12,,,,,,,,,,
6060,12/18/2022- 6:05:58 AM,,,,,,4.14,111.08,20.56,22.55,0.93,,,,,,,,,,
6061,12/18/2022- 6:16:20 AM,,,,,,4.14,101.32,20.19,22.4,3.14,,,,,,,,,,
6062,12/18/2022- 6:27:58 AM,,,,,,4.14,96.44,20.85,22.55,3.98,,,,,,,,,,
6063,12/18/2022- 6:39:22 AM,,,,,,4.14,102.54,20.53,22.26,4.02,,,,,,,,,,
6064,12/18/2022- 6:50:59 AM,,,,,,4.14,106.2,20.58,22.4,4.05,,,,,,,,,,
6065,12/18/2022- 7:13:04 AM,,,,,,4.14,102.54,20.61,22.37,4.09,,,,,,,,,,
6066,12/18/2022- 7:24:50 AM,,,,,,4.15,107.42,20.87,22.4,4.17,,,,,,,,,,
6067,12/18/2022- 7:35:13 AM,,,,,,4.17,98.88,20.78,22.29,4.21,,,,,,,,,,
6068,12/18/2022- 7:46:38 AM,,,,,,4.18,103.76,20.78,22.14,4.28,,,,,,,,,,
6069,12/18/2022- 7:58:18 AM,,,,,,4.2,98.88,20.83,21.99,4.32,,,,,,,,,,
6070,12/18/2022- 8:09:43 AM,,,,,,4.21,,20.56,,4.42,,,,,,,,,,
6071,12/18/2022- 8:20:18 AM,,,,,,4.25,106.2,20.43,22.14,4.53,4.19,137.94,26.46,21.64,5,,,,,
6072,12/18/2022- 8:43:31 AM,,,,,,4.26,98.88,20.65,21.96,4.47,,,,,,,,,,
6073,12/18/2022- 8:55:10 AM,,,,,,4.26,103.76,20.87,22.02,4.44,,,,,,,,,,
6074,12/18/2022- 9:05:32 AM,,,,,,4.24,,20.48,,4.51,4.17,141.6,26.59,21.67,5,4.21,197.75,25.66,20.91,4.28
6075,12/18/2022- 9:16:56 AM,,,,,,4.25,103.76,20.83,21.93,4.55,,,,,,,198.97,,20.73,
6076,12/18/2022- 9:28:39 AM,,,,,,4.25,,20.78,,4.47,,151.37,,21.58,,,,,,
6077,12/18/2022- 9:40:04 AM,,,,,,4.26,,20.43,,4.63,,,,,,,,,,
6078,12/18/2022- 9:51:42 AM,,,,,,4.26,,20.34,,4.42,,,,,,,,,,
6079,12/18/2022- 10:03:06 AM,,,,,,4.24,102.54,20.51,21.64,5,,,,,,4.2,189.21,25.61,20.91,5
6080,12/18/2022- 10:14:31 AM,,,,,,4.24,92.77,20.43,21.93,5,,,,,,,,,,
6081,12/18/2022- 10:36:37 AM,,,,,,4.24,104.98,20.39,21.7,5,4.17,147.71,26.42,21.38,5,,,,,
6082,12/18/2022- 10:48:12 AM,,,,,,4.24,102.54,20.53,21.7,5,4.17,144.04,26.61,21.49,5,,,,,
6083,12/18/2022- 10:59:50 AM,,,,,,4.24,101.32,20.31,21.7,5,,,,,,,,,,
6084,12/18/2022- 11:11:14 AM,,,,,,4.26,104.98,20.21,21.73,5,,,,,,,,,,
6085,12/18/2022- 11:33:15 AM,,,,,,4.24,102.54,20.21,21.76,5,4.17,141.6,26.2,21.52,5,,,,,
6086,12/18/2022- 11:44:46 AM,,,,,,4.24,103.76,20.14,21.67,5,4.17,150.15,26.59,21.55,5,,,,,
6087,12/18/2022- 11:56:23 AM,,,,,,4.24,106.2,20.34,21.73,5,4.17,151.37,26.64,21.76,5,,,,,
6088,12/18/2022- 12:07:48 PM,,,,,,4.24,102.54,20.14,21.76,5,4.17,134.28,26.46,21.55,5,,,,,
6089,12/18/2022- 12:19:13 PM,,,,,,4.24,98.88,20.29,21.73,5,4.17,137.94,26.39,21.55,5,,,,,
6090,12/18/2022- 12:30:51 PM,,,,,,4.24,107.42,20.21,21.73,5,4.17,146.48,26.54,21.58,5,,,,,
6091,12/18/2022- 12:42:16 PM,,,,,,4.24,104.98,20.14,21.87,5,4.17,152.59,26.59,21.64,5,,,,,
6092,12/18/2022- 1:27:21 PM,,,,,,4.24,104.98,20.02,21.87,5,4.17,142.82,26.32,21.61,5,,,,,
6093,12/18/2022- 1:38:46 PM,,,,,,4.24,,20.17,,5,,,,,,,,,,
6094,12/18/2022- 1:50:10 PM,,,,,,4.25,103.76,20.09,21.99,4.4,4.17,140.38,26.37,21.82,5,,,,,
6095,12/18/2022- 2:01:47 PM,,,,,,4.27,98.88,20.12,21.87,4.45,4.17,146.48,26.54,21.9,5,,,,,
6096,12/18/2022- 2:13:12 PM,,,,,,4.27,109.86,20.14,22.08,4.38,4.18,150.15,26.86,21.73,4.64,,,,,
6097,12/18/2022- 2:35:15 PM,,,,,,4.27,107.42,20.31,22.05,4.43,,,,,,,,,,
6098,12/18/2022- 2:46:39 PM,,,,,,4.27,102.54,20.19,22.23,4.35,,,,,,,,,,
6099,12/18/2022- 2:58:16 PM,,,,,,4.27,102.54,20.14,22.23,4.34,4.21,148.93,26.27,21.99,4.28,,,,,
6100,12/18/2022- 3:09:41 PM,,,,,,4.27,98.88,20.21,22.23,4.3,4.22,148.93,26.22,22.02,4.26,,,,,
6101,12/18/2022- 3:21:06 PM,,,,,,4.26,,20.36,,4.28,,,,,,,,,,
6102,12/18/2022- 3:32:44 PM,,,,,,4.26,,20.12,,4.25,,,,,,,,,,
6103,12/18/2022- 3:44:08 PM,,,,,,4.27,107.42,20.24,22.58,4.2,4.23,156.25,26.73,21.96,4.19,,,,,
6104,12/18/2022- 4:06:09 PM,,,,,,4.27,92.77,20.26,22.58,4.18,,,,,,,,,,
6105,12/18/2022- 4:17:34 PM,,,,,,4.26,106.2,20.14,22.81,4.17,,,,,,,,,,
6106,12/18/2022- 4:29:11 PM,,,,,,4.26,98.88,20.07,22.64,4.14,4.22,146.48,26.54,22.14,4.11,,,,,
6107,12/18/2022- 4:40:36 PM,,,,,,4.25,100.1,20.46,22.84,3.96,4.21,140.38,26.54,22.2,3.91,,,,,
6108,12/18/2022- 4:52:01 PM,,,,,,4.25,100.1,20.24,22.64,2.71,4.21,145.26,26.39,21.82,2.29,,,,,
6109,12/18/2022- 5:02:37 PM,,,,,,4.24,101.32,20.34,22.84,0.48,,,,,,,,,,
6110,12/18/2022- 5:14:01 PM,,,,,,4.23,98.88,20.31,22.78,0.11,,,,,,,,,,
6111,12/18/2022- 5:25:25 PM,,,,,,4.23,102.54,20.29,22.87,0.08,,,,,,,,,,
6112,12/18/2022- 5:37:05 PM,,,,,,4.22,102.54,20.31,22.9,0.08,,,,,,,,,,
6113,12/18/2022- 6:21:59 PM,,,,,,4.21,103.76,20.17,22.87,0.08,,,,,,,,,,
6114,12/18/2022- 6:33:39 PM,,,,,,4.21,98.88,20.21,23.05,0.08,,,,,,,,,,
6115,12/18/2022- 6:45:04 PM,,,,,,4.21,106.2,20.21,22.99,0.09,,,,,,,,,,
6116,12/18/2022- 6:55:27 PM,,,,,,4.2,103.76,19.95,23.11,0.09,,,,,,,,,,
6117,12/18/2022- 7:07:06 PM,,,,,,4.2,101.32,20.48,22.96,0.09,,,,,,,,,,
6118,12/18/2022- 7:18:31 PM,,,,,,4.2,104.98,20.31,23.13,0.09,,,,,,,,,,
6119,12/18/2022- 7:30:09 PM,,,,,,4.2,102.54,20.21,23.25,0.09,,,,,,,,,,
6120,12/18/2022- 7:40:31 PM,,,,,,4.19,,20.14,,0.09,,,,,,4.13,189.21,,22.08,0.04
6121,12/18/2022- 7:51:57 PM,,,,,,4.19,104.98,20.19,22.99,0.09,,,,,,,196.53,,22.2,
6122,12/18/2022- 8:03:36 PM,,,,,,4.19,102.54,20.29,23.13,0.09,,,,,,,,,,
6123,12/18/2022- 8:15:00 PM,,,,,,4.19,104.98,20.19,23.11,0.09,,,,,,,,,,
6124,12/18/2022- 8:26:26 PM,,,,,,4.19,107.42,20.53,22.9,0.09,,,,,,4.12,191.65,25.39,22.17,0.04
6125,12/18/2022- 8:37:01 PM,,,,,,4.19,100.1,20.21,23.11,0.09,,,,,,,192.87,,22.11,
6126,12/18/2022- 8:48:27 PM,,,,,,4.18,,20.34,,0.09,,,,,,,,,,
6127,12/18/2022- 9:00:30 PM,,,,,,4.18,,20.31,,0.09,,,,,,,,,,
6128,12/18/2022- 9:10:52 PM,,,,,,4.18,104.98,20.29,23.13,0.09,,,,,,,,,,
6129,12/18/2022- 9:22:16 PM,,,,,,4.18,101.32,20.29,23.08,0.09,,,,,,,,,,
6130,12/18/2022- 9:33:56 PM,,,,,,4.18,97.66,20.41,23.08,0.09,,,,,,,,,,
6131,12/18/2022- 9:45:21 PM,,,,,,4.17,104.98,20.26,23.11,0.09,,,,,,,,,,
6132,12/18/2022- 9:56:47 PM,,,,,,4.18,102.54,20.34,23.08,0.1,,,,,,,,,,
6133,12/18/2022- 10:07:23 PM,,,,,,4.17,100.1,20.31,22.96,0.09,,,,,,,,,,
6134,12/18/2022- 10:18:47 PM,,,,,,4.17,107.42,20.36,23.11,0.09,,,,,,,,,,
6135,12/18/2022- 10:41:51 PM,,,,,,4.17,98.88,20.39,22.96,0.09,,,,,,,,,,
